,LAcode,LAname,objectid,all_categories,from_home,underground_metro _light_rail_tram,Train,bus_minibus_or_coach,taxi,motorcycle_or_scooter,driving_a_car_or _a_van,passeneger_a_car_or _a_van,bicycle,on_foot,other,not_in_employment,health_all_categories,very_good_health,good_health,fair_health,bad_health,very_bad_health
0,E06000001,Hartlepool,1,66804,2473,33,469,2556,673,175,22863,3157,706,4305,357,29037,92028,39816,30117,14607,5789,1699
1,E06000002,Middlesbrough,2,100551,3337,44,698,4868,902,195,31155,4639,1375,6769,565,46004,138412,62855,45295,19719,8001,2542
2,E06000003,Redcar and Cleveland,3,99177,4034,43,1175,3314,388,255,36281,3976,875,5335,678,42823,135177,57285,45844,21449,8184,2415
3,E06000004,Stockton-on-Tees,4,140654,6376,97,1115,5023,593,410,57793,6014,1693,7101,907,53532,191610,88811,64282,26385,9296,2836
4,E06000005,Darlington,5,76635,4180,33,828,3380,403,191,28981,3337,1151,6284,246,27621,105564,47046,37199,15116,4763,1440
5,E06000006,Halton,6,92708,3696,38,1081,3787,321,351,37640,3988,1191,5221,263,35131,125746,58684,39693,17504,7732,2133
6,E06000007,Warrington,7,149461,9336,142,2068,4946,368,677,67670,5650,2577,7038,384,48605,202228,100734,66223,24446,8466,2359
7,E06000008,Blackburn with Darwen,8,104417,4930,42,956,3240,1097,315,36700,4916,592,7460,275,43894,147489,66991,49010,20725,8428,2335
8,E06000009,Blackpool,9,103813,6173,40,512,5174,565,551,32816,4578,1916,8705,389,42394,142065,56600,48022,23977,10346,3120
9,E06000010,"Kingston upon Hull, City of",10,190610,5676,51,642,14317,1111,1313,56712,8631,8944,12705,801,79707,256406,110555,89572,38102,14047,4130
10,E06000011,East Riding of Yorkshire,11,245594,18942,103,2206,4428,472,1182,101115,8579,5819,14774,1137,86837,334179,151003,116859,48307,13877,4133
11,E06000012,North East Lincolnshire,12,115823,4574,51,312,4251,523,645,43237,4972,3817,7841,553,45047,159616,70242,55935,23779,7507,2153
12,E06000013,North Lincolnshire,13,122329,6841,33,348,1858,193,779,52473,5166,2959,7041,410,44228,167446,73234,59883,24667,7593,2069
13,E06000014,York,14,149789,9297,96,2406,7039,377,947,45123,4463,11106,17457,410,51068,198051,98402,67709,23752,6369,1819
14,E06000015,Derby,15,179291,7829,83,1196,9978,893,970,65944,7128,4158,13755,488,66869,248752,111837,87060,35193,11413,3249
15,E06000016,Leicester,16,242232,9392,227,1550,18203,714,676,67886,10824,4980,22303,739,104738,329839,148108,117551,44278,14972,4930
16,E06000017,Rutland,17,27052,3011,29,303,196,20,101,10502,721,606,2478,70,9015,37369,18828,12718,4532,1008,283
17,E06000018,Nottingham,18,232072,8856,2495,1315,24275,950,763,54020,6530,4257,19064,693,108854,305680,141038,103332,41581,15063,4666
18,E06000019,"Herefordshire, County of",19,133442,15123,85,612,1491,250,601,52643,4601,3223,11062,546,43205,183477,83874,64494,25517,7441,2151
19,E06000020,Telford and Wrekin,20,122279,6331,60,1047,3113,849,556,52405,6198,1644,5840,329,43907,166641,76439,57198,22609,8023,2372
20,E06000021,Stoke-on-Trent,21,182808,6933,31,753,8467,1327,872,67766,9190,1574,10739,457,74699,249008,104510,86311,38179,15356,4652
21,E06000022,Bath and North East Somerset,22,130550,10624,118,2882,5380,197,876,44498,3813,2451,13636,383,45692,176016,88882,58849,20856,5831,1598
